cmd_vel_lin_x,cmd_vel_ang_z
0,0
0.207155,0.217742
0.24497,0.219796
0.316098,0.197335
0.363696,0.170639
0.429833,0.136093
0.489823,0.068694
0.5,0.014895
0.5,-0.001693
0.5,-0.001055
0.5,0.00267
0.5,0.014784
0.5,-0.003107
0.5,0.000347
0.5,0.01841
0.5,-0.016828
0.5,-0.005115
0.5,-0.002387
0.5,-0.005
0.5,0.026951
0.5,0.006689
0.5,-8.4E-05
0.5,-0.000821
0.5,-0.000654
0.5,-0.003758
0.5,-0.002247
0.081708,-0.371821
-0.017618,-0.153684
0,0
0,0
-0.03079,0.114124
0,0
0.065024,-0.057295
0,0
-0.00546,-0.448312
-0.046477,-0.364517
-0.011041,-0.500267
0,0
-0.008616,-0.523135
-0.012136,-0.514379
-0.0071,-0.513012
-0.005822,-0.2345
-0.006861,-0.064056
0,0
-0.047828,0.167941
-0.022789,-0.122517
-0.024288,-0.190033
-0.014147,-0.38172
-0.003965,-0.505559
-0.012009,-0.519139
-0.019391,-0.509176
-0.007269,-0.51705
-0.002248,-0.513845
-0.007459,-0.510904
-0.015942,-0.511821
-0.004218,-0.510779
-0.006644,-0.52302
-0.006268,-0.514331
0.040784,-0.514767
0.099374,-0.524082
0.176416,-0.512291
0.243831,-0.495662
0.307829,-0.466915
0.373674,-0.312035
0.433996,-0.172238
0.493133,-0.166278
0.5,-0.055831
0.5,-0.175339
0.495216,0.079109
0.5,0.085723
0.5,0.36783
0.5,0.300594
0.5,0.353883
0.5,0.397614
0.497702,0.5107
0.5,0.504106
0.5,0.504739
0.5,0.508261
0.491016,0.514067
0.49641,0.507044
0.486666,0.514617
0.5,0.500843
0.5,0.50384
0.493783,0.513962
0.5,0.504353
0.5,0.504099
0.5,0.505905
0.5,0.5048
0.5,0.505656
0.5,0.502182
0.5,0.501482
0.5,0.501728
0.5,0.50111
0.5,0.501568
0.5,0.500235
0.5,0.500237
0.5,0.476824
0.5,0.401456
0.5,0.33086
0.5,0.1997
0.5,0.114826
0.5,0.049064
0.5,0.005695
0.5,0.017383
0.5,0.04055
0.5,0.057807
0.5,0.020359
0.5,0.02828
0.5,0.004714
0.5,-0.133063
0.5,-0.111715
0.5,-0.01131
0.5,0.020027
0.5,0.046337
0.5,-0.050361
0.5,-0.01273
0.5,0.004462
0.5,0.034058
0.5,0.021039
0.5,0.032533
0.5,0.01614
0.5,0.030452
0.5,0.015653
0.5,0.028938
0.375624,0.147997
0.209683,0.069908
0.2727,0.1773
0.206373,0.363832
0.227408,0.260319
0,0
-0.007238,-0.092389
0.056893,0.189297
-0.009887,0.241984
0,0
-0.074812,-0.036789
-0.004373,0.187145
-0.008663,0.363931
0,0
-0.00362,-0.041446
0,0
-0.009078,-0.16882
-0.057723,0.130151
-0.012708,0.270616
-0.012237,0.388618
-0.007845,0.515667
-0.009739,0.514107
-0.015562,0.527415
-0.004447,0.511785
-0.001107,0.510767
-0.007999,0.514766
-0.010289,0.520279
0.000499,0.509307
-0.004578,0.512708
0.058283,0.522291
0.126759,0.510929
0.205286,0.508467
0.19486,0.519841
0.180957,0.519986
0.225683,0.514106
0.232387,0.514913
0.239617,0.499755
0.301599,0.316474
0.378767,0.331752
0.435516,0.178011
0.459695,0.062266
0.483021,0.072374
0.49977,0.006435
0.5,-0.162997
0.5,-0.356645
0.5,-0.50025
0.467594,-0.526866
0.5,-0.507979
0.480135,-0.515445
0.477372,-0.513021
0.47766,-0.509862
0.480492,-0.511695
0.486848,-0.509426
0.487913,-0.511797
0.496908,-0.50692
0.498832,-0.508329
0.5,-0.469289
0.495107,-0.512023
0.497792,-0.509343
0.5,-0.509603
0.5,-0.509266
0.5,-0.49414
0.5,-0.503034
0.5,-0.502775
0.5,-0.501974
0.5,-0.501925
0.5,-0.500704
0.5,-0.50095
0.5,-0.500566
0.5,-0.50031
0.5,-0.500321
0.5,-0.432558
0.5,-0.364744
0.5,-0.280913
0.5,-0.220605
0.5,-0.14697
0.5,0.004576
0.5,0.039074
0.5,0.010229
0.5,-0.052793
0.5,0.00988
0.5,-0.003728
0.5,-0.021906
0.5,-0.048479
0.5,0.00038
0.5,-0.124483
0.5,0.029855
0.5,-0.030736
0.5,0.073489
0.5,0.028175
0.5,-0.005479
0.5,0.021091
0.5,-0.038923
0.5,-0.042043
0.5,-0.038917
0.5,-0.033443
0.5,-0.018161
0.5,-0.079459
0.5,-0.060798
0.5,-0.030675
0.5,-0.027804
0.5,0.005966
0.5,0.00605
0.5,0.00541
0.5,-0.001231
0.5,-0.003721
0.5,0.004858
0.5,0.055891
0.5,0.038072
0.5,-0.007058
0.5,-0.053707
0.5,-0.047289
0.5,0.016271
0.5,0.03113
0.5,0.015836
0.5,0.007797
0.5,-0.004354
0.5,-0.039523
0.5,-0.036385
0.5,-0.001535
0.490691,0.007808
0.48339,0.002305
0.461475,0.008205
0.452269,0.005297
0.42391,-0.007605
0.38806,0.008387
0.357574,0.01286
0.331897,-0.080451
0.301395,-0.085593
0,0
0,0
